mms,title,lds19,publisher,format,genre,lds03,trove_note,trove_url,
9910006973607636,"Sportsman (Melbourne, Vic.) | The sportsman.",1881 - 1904,"Melbourne, Vic. : Published for the Proprietors by A.H. Massina & Co.",v. : ill. ; 53-56 cm.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1141,
9910362763607636,"Herald (Melbourne, Vic.) | The Herald.",1855-1990,Melbourne : F.B. Franklyn & Co.,v. ; 58 cm.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1190,
9910229553607636,"Advertiser (Hurstbridge, Vic.) | The Advertiser.",1922-1939,"Hurstbridge, Vic. : G.P. Armstrong",v. ; 62 cm.,Newspapers,Australia--Victoria--Hurstbridge,,http://nla.gov.au/nla.news-title148,
999793373607636,"Pilot (Upper Ferntree Gully, Vic.) | The Pilot [microform]",1921-,Upper Fern Tree Gully Vic. : L.D. Bear,v.,,Australia--Victoria--Upper Ferntree Gully | Australia--Victoria--Ferntree Gully,,http://nla.gov.au/nla.news-title1714,
999793363607636,"Pilot (Upper Ferntree Gully, Vic.) | The Pilot.",1921-,Upper Fern Tree Gully Vic. : L.D. Bear,v.,,Australia--Victoria--Upper Ferntree Gully | Australia--Victoria--Ferntree Gully,,http://nla.gov.au/nla.news-title1714,
9910140853607636,"Countryman (Melbourne, Vic.) | The countryman.",1924-,Melbourne : Countryman Newspaper Co.,v. : ill. ; 52 cm.,,Australia--Victoria | Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title895,
9910173723607636,"Tocsin (Melbourne, Vic. : 1897) | The Tocsin.",1897-1906,Melbourne : Tocsin Printing and Publishing Co-operative Society,v. : ill. ; 44 cm.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title961,
9910140833607636,"Farmers' advocate (Melbourne, Vic.) | The farmers' advocate : official organ of the Victorian Farmers Union.",1917-1924,Melbourne : N.D. Ferguson,v.,,Australia--Victoria | Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title894,Y
9922997753607636,"The Footscray advertiser : Williamstown, Braybrook and Wyndham reporter.",1874-1887,Williamstown Vic. : Clark and Co.,v. ; 69 cm.,Newspapers,Australia--Victoria--Footscray | Australia--Victoria--Williamstown | Australia--Victoria--Yarraville,,http://nla.gov.au/nla.news-title1898,Y
9920457173607636,Healesville and Yarra Glen guardian.,1900-1942,Healesville Vic. : A.F. Buckley,v. ; 61 cm.,Newspapers,Australia--Victoria--Healesville | Australia--Victoria--Lilydale | Australia--Victoria--Yarra Glen,,http://nla.gov.au/nla.news-title143,Y
