mms,title,lds19,publisher,format,genre,lds03,trove_note,trove_url,place_x,placename,place_y,corrected,possible,placename_corrected,placename_upper,State,Municipality,Name Id,Place Name,Place Name Status,Feature Type Code,Feature Type,Longitude,Latitude,Place Id,feature_order
9910308043607636,"Age (Melbourne, Vic. : Victorian ed.) | The Age.",2000-2000,Melbourne : Age Co. Ltd.,v. : ill. ; 60 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,,,Australia--Victoria,Victoria,Australia--Victoria,,,Victoria,VICTORIA,,,,,,,,,,,
9910308043607636,"Age (Melbourne, Vic. : Victorian ed.) | The Age.",2000-2000,Melbourne : Age Co. Ltd.,v. : ill. ; 60 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,,,Australia--Victoria--Melbourne,Melbourne,,,,Melbourne,MELBOURNE,VIC,MELBOURNE CITY,102000.0,MELBOURNE,REGISTERED,LOCB,LOCALITY,144.9739942,-37.8242884,101986.0,1.0
9910167223607636,The Victorian banner : a weekly journal of religion and politics.,1882-1884,Melbourne : W. Mortimer,v. : ill. ; 45 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,,,Australia--Victoria,Victoria,Australia--Victoria,,,Victoria,VICTORIA,,,,,,,,,,,
9910167223607636,The Victorian banner : a weekly journal of religion and politics.,1882-1884,Melbourne : W. Mortimer,v. : ill. ; 45 cm.,Newspapers,Australia--Victoria | Australia--Victoria--Melbourne,,,Australia--Victoria--Melbourne,Melbourne,,,,Melbourne,MELBOURNE,VIC,MELBOURNE CITY,102000.0,MELBOURNE,REGISTERED,LOCB,LOCALITY,144.9739942,-37.8242884,101986.0,1.0
9910140853607636,"Countryman (Melbourne, Vic.) | The countryman.",1924-1976,Melbourne : Countryman Newspaper Co.,v. : ill. ; 52 cm.,,Australia--Victoria | Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title895,Australia--Victoria,Victoria,Australia--Victoria,,,Victoria,VICTORIA,,,,,,,,,,,
9910140853607636,"Countryman (Melbourne, Vic.) | The countryman.",1924-1976,Melbourne : Countryman Newspaper Co.,v. : ill. ; 52 cm.,,Australia--Victoria | Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title895,Australia--Victoria--Melbourne,Melbourne,,,,Melbourne,MELBOURNE,VIC,MELBOURNE CITY,102000.0,MELBOURNE,REGISTERED,LOCB,LOCALITY,144.9739942,-37.8242884,101986.0,1.0
9910140833607636,"Farmers' advocate (Melbourne, Vic.) | The farmers' advocate : official organ of the Victorian Farmers Union.",1917-1924,Melbourne : N.D. Ferguson,v.,,Australia--Victoria | Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title894,Australia--Victoria,Victoria,Australia--Victoria,,,Victoria,VICTORIA,,,,,,,,,,,
9910140833607636,"Farmers' advocate (Melbourne, Vic.) | The farmers' advocate : official organ of the Victorian Farmers Union.",1917-1924,Melbourne : N.D. Ferguson,v.,,Australia--Victoria | Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title894,Australia--Victoria--Melbourne,Melbourne,,,,Melbourne,MELBOURNE,VIC,MELBOURNE CITY,102000.0,MELBOURNE,REGISTERED,LOCB,LOCALITY,144.9739942,-37.8242884,101986.0,1.0
9910136023607636,The war cry for the colony of Victoria.,1885-1889,Melbourne : Salvation Army,v.,,Australia--Victoria | Australia--Victoria--Melbourne,,,Australia--Victoria,Victoria,Australia--Victoria,,,Victoria,VICTORIA,,,,,,,,,,,
9910136023607636,The war cry for the colony of Victoria.,1885-1889,Melbourne : Salvation Army,v.,,Australia--Victoria | Australia--Victoria--Melbourne,,,Australia--Victoria--Melbourne,Melbourne,,,,Melbourne,MELBOURNE,VIC,MELBOURNE CITY,102000.0,MELBOURNE,REGISTERED,LOCB,LOCALITY,144.9739942,-37.8242884,101986.0,1.0
