MMS ID - 001,034$d,034$e,034$f,034$g,Cartographer - 110,Title - 245$a,Coordinates - 255$c,Publisher details - 260,Description - 300 ,Aperture card reproduction note - 533,Photocopy or reprint note - 534
9921177713607636,E1425900,E 1425900,S0383300,S0383300,Victoria.Department of Crown Lands and Survey.,"Paaratte, County of Heytesbury",(E 142°59'/S 38°33').,"Melbourne :Dept. of Lands and Survey,1882.",1 map ;on sheet 58 x 42 cm.,,
9921177763607636,E1435100,E1435100,S0362500,S0362500,Victoria.Department of Crown Lands and Survey.,"Powlett, County of Gladstone",(E 143°51'/S 36°25').,"Melbourne :Dept. of Lands and Survey,1883.",1 map ;on sheet 33 x 69 cm.,,
9921177843607636,E1442200,E1442200,S0353900,S0353900,Victoria.Department of Crown Lands and Survey.,"Patho, County of Gunbower",(E 144°22'/S 35°59').,"Melbourne :H. J. Green, Govt. Printer,1926.",1 map ;on sheet 54 x 81 cm.,,
9921177883607636,E1455000,E1455000,S0362500,S0362500,Victoria.Department of Crown Lands and Survey,[Map of Parish of Stewarton],(E 145°50'/S 36°25' ).,"[Melbourne? :Dept. of Lands and Survey?,188-?].",1 map ;on sheet 30 x 41 cm.,,
9921178363607636,,,,,Victoria.Department of Crown Lands and Survey,Plan of a road from Stanley to Hillsborough and Yackandandah,,"Melbourne :Dept. of Lands and Survey,1867.",1 map ;on sheet 56 x 38 cm.,,
9921178453607636,E1465600,E1465600,S0381800,S0381800,Victoria.Department of Crown Lands and Survey.,"Stradbroke, County of Buln Buln",(E 146°56'/S 38°18').,"Melbourne :Dept. of Lands and Survey,1936.",1 map on 2 sheets ;on sheets 96 x 80 cm.,,
9921178773607636,E1443900,E 1443900,S0381200,S0381200,Victoria.Department of Crown Lands and Survey,"Paywit, County of Grant",(E 144°39'/S 38°12').,"Melbourne :Dept. of Lands and Survey,1905.",1 map ;on sheet 71 x 49 cm.,,
9921178843607636,,,,,Victoria.Department of Crown Lands and Survey,[Map of part of the Parish of Sale],,"[Melbourne :Dept. of Lands and Survey],[188-].",1 map ;on sheet 78 x 67 cm.,,
9921181913607636,E1450200,E1450200,S0375200,S0375200,Victoria.Department of Crown Lands and Survey.,"Prahran, County of Bourke",(E 145°02'/S 37°52').,"Melbourne :Dept of Crown Lands and Survey,1882.",1 map :mounted on linen ;62 x 83 cm.,,
9921181923607636,E1430500,E1430500,S0345700,S0345700,Victoria.Department of Crown Lands and Survey,"Parish of Pines, County of Tatchera",(E 143°05'/S 34°57').,"Melbourne :H. J. Green, Govt. Printer,1929.",1 map ;on sheet 80 x 108 cm.,,
9921181953607636,E1485000,E1485000,S0373600,S0373600,Victoria.Department of Crown Lands and Survey.,"Purgagoolah, County of Croajingolong",(E 148°50'/S 37°36').,"Melbourne :A. J. Mullet. Govt. Printer,[191-?].",1 map ;on sheet 76 x 102 cm.,,
9921182013607636,E1432600,E1432600,S0382200,S0382200,Victoria.Department of Crown Lands and Survey.,"Pirron Yaloak, County of Polwarth",(E 143°26'/S 38°22').,"Melbourne :Dept. of Lands and Survey,1879.",1 map :on sheet 57 x 75 cm.,,
9921182043607636,E1421800,E1421800,S0373300,S0373300,Victoria.Department of Crown Lands and Survey.,"Panyyabyr, County of Dundas",(E 142°18'/S 37°33').,"Melbourne :Dept. of Lands and Survey,1891.",1 map ;on sheet  46 x 37 cm.,,
9921182063607636,E1413500,E1413500,S0382100,S0382100,Victoria.Department of Crown Lands and Survey,"Parish of Portland, County of Portland",(E 141°35'/S 38°21').,"Melbourne :Dept. of Lands and Survey,1890.",1 map ;on sheet 71 x 50 cm.,,
9921182083607636,E1445300,E1445300,S0370200,S0370200,Victoria.Department of Crown Lands and Survey.,"Panyule, County of Dalhousie",(E 144°53'/S 37°02').,"Melbourne :Dept. of Lands and Survey,1936.",1 map ;on sheet 78 x 102 cm.,,
9921182183607636,E1431000,E1431000,S0351600,S0351600,Victoria.Department of Crown Lands and Survey,"Paingil West, County of Tatchera",(E 143°10'/S 35°16' ).,"Melbourne :Dept. of Lands and Survey,1917.",1 map ;on sheet 78 x 102 cm.,,
9921182243607636,,,,,Victoria.Department of Crown Lands and Survey,"Suburban lands, Sandridge",,"Melbourne :Dept. of Lands and Survey,1869.",1 map ;on sheet 45 x 57 cm.,,
9921183053607636,,,,,Victoria.Surveyor General's Office,"Plan of Portion A, Township of Sandhurst on Bendigo Creek",,"Melbourne :Surveyor General's Office,1856.",1 map ;on sheet 75 x 66 cm.,,
9921183123607636,E1440700,E1440700,S0362100,S0362100,Victoria.Department of Crown Lands and Survey,[Map of part of Parish of Pompapiel],(E 144°07'/S 36°21' ).,"Melbourne :Dept. of Lands and Survey,1879.",1 map ;on sheet 66 x 69 cm.,,
9921186813607636,E1425600,E1425600,S0373000,S0373000,Victoria.Department of Crown Lands and Survey.,"Parish of Tatyoon, County of Ripon",(E 142°56'/S 37°30').,"Melbourne :Dept. of Lands and Survey,1914.","1 map :col., mounted on linen ;on sheet  50 x 90 cm.",,
9921186943607636,E1431600,E1431600,S0361100,S0361100,Victoria.Department of Crown Lands and Survey.,"Teddywaddy, County of Kara Kara",(E 143°16'/S 36°11').,"Melbourne :Dept. of Lands and Survey,1951.",1 map on 2 sheets ;on sheets 97 x 71 cm. and 69 x 96 cm.,,
9921187003607636,,,,,Victoria.Department of Crown Lands and Survey.,[Map of part of Parish of Terrappee],(E 143°34'/S 36°09').,"[Melbourne:Dept, of Lands and Survey?,1883?].",1 map ;on sheet  85 x 69 cm.,,
9921187543607636,E1431200,E1431200,S0354300,S0354300,Victoria.Department of Crown Lands and Survey.,"Toort, County of Tatchera",(E 143°12'/S 35°43').,"Melbourne :A. J. Mullett, Govt. Printer,[192-?].",1 map ;on sheet 69 x 81 cm.,,
9921188273607636,E1425000,E1425000,S0380000,S0380000,Victoria.Department of Crown Lands and Survey.,"Toorak, County of Hampden",(E 142°50'/S 38°00').,"Melbourne :Dept. of Lands and Survey,1968.",1 map ;on sheet 76 x 102 cm.,,
9921188543607636,,,,,Victoria.Department of Crown Lands and Survey.,"Tooan, County of Lowan",(E 141°46'/S 36°49').,"Melbourne :Dept. of Lands and Survey,1966.",1 map ;on sheet  62 x 49 cm.,,
9921189113607636,E1444700,E1444700,S0375100,S0375100,Victoria.Department of Crown Lands and Survey.,"Truganina, County of Bourke",(E 144°47'/S 37°51').,"Melbourne :Dept. of Lands and Survey,1959.",1 map ;38 x 51 cm.,,
9921189123607636,E1444700,E1444700,S0375100,S0375100,Victoria.Department of Crown Lands and Survey.,"Plan of the Parish of Truganina, County of Bourke",(E 144°47ʹ/S 37°51ʹ).,"Melbourne :Dept. of Lands and Survey,1870.",1 map ;on sheet 25 x 39 cm.,,
9921189353607636,E1425600,E1425600,S0352800,S0352800,Victoria.Department of Crown Lands and Survey.,"Tyrrell, County of Karkarooc",(E 142°56'/S 35°28').,"Melbourne :Dept. of Lands and Survey,1965.",1 map ;on sheet 68 x 96 cm.,,
