placename,alma_id,title,date,start_year,end_year,ie_id,image_id
Abbotsford,9938854853607636,"Aerial view of Abbotsford, Victoria.",1 April 1954,1954,1954,IE21718575,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE21718575:FL21782612.jpg
Abbotsford,9938854843607636,"Aerial view of Abbotsford, Victoria.",19 February 1953,1953,1953,IE21717415,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE21717415:FL21783876.jpg
Abbotsford,9917156513607636,[Clifton Hill and surrounds from Studley Park] [picture],[ca. 1882],1882,1882,IE1367163,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1367163:FL20759827.jpg
Abbotsford,9916578523607636,Abbotsford & Johnston St. Bridge from Studley Park [picture],[ca. 1870-ca. 1880],1870,1880,IE646857,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE646857:FL21058847.jpg
Abbotsford,9917112033607636,[St Helliers Homestead and old Johnston St. Bridge] [picture],[ca. 1863-ca.1870],1863,1870,IE451586,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE451586:FL20882779.jpg
Abbotsford,9917111973607636,Johnstone St. Bridge Abbotsford [picture],[ca.1873-ca. 1882],1873,1882,IE400638,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE400638:FL20882803.jpg
Abbotsford,9922956493607636,"North-west corner of Bloomburg and Russell Streets, Abbotsford [picture]",[ca. 194-?].,,,IE72376,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE72376:FL21312476.jpg
Abbotsford,9916560353607636,The Yarra near Studley Park [picture].,[ca. 1858],1858,1858,IE573937,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE573937:FL21226156.jpg
Abbotsford,9917988613607636,"The Good Shepherd Convent, Abbotsford, Victoria, founded 1863 [picture].",[ca. 1910],1910,1910,IE1148241,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1148241:FL21005448.jpg
Abbotsford,9916578853607636,View on the Yarra at Abbotsford [picture],[ca. 1870-ca. 1880],1870,1880,IE682284,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE682284:FL21059930.jpg
Abbotsford,9916558333607636,Yarra Yarra 20th Apr. 1855 [art original] / Eugene von Guerard.,"Apr. 20, 1855.",1855,1855,IE1332908,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1332908:FL20893715.jpg
Abbotsford,9939650774207636,Exterior of Elliot & Dibb. Warehouse  offices.,1938?,1938,1938,IE20333642,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20333642:FL20793649.jpg
Abbotsford,9939649135707636,Exterior of Elliot & Dibb. Warehouse  offices.,1938?,1938,1938,IE20333192,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20333192:FL20793994.jpg
Abbotsford,9922531013607636,"[Livingstone Shoes Pty Ltd, 268 Langridge Street, Abbotsford] [picture].",[ca. 1946 - ca. 1949].,1946,1949,IE1314831,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1314831:FL20763822.jpg
Abbotsford,9917962433607636,"Yarra Falls mill [Abbotsford, Vic.] [picture] / Darge.",1920.,1920,1920,IE1860276,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1860276:FL21099750.jpg
Aberfeldie,9923084593607636,"Aberfeldie Grade VA, 1949 [Aberfeldie Primary School] [picture].",1949.,1949,1949,IE1881247,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1881247:FL21118948.jpg
Aberfeldie,9923084583607636,"Aberfeldie Grade 1E, 1949 [Aberfeldie Primary School] [picture].",1949.,1949,1949,IE1901975,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1901975:FL21118988.jpg
Aberfeldie,9923084493607636,"Aberfeldie Grade IIIA, 1947 [Aberfeldie Primary School] [picture].",1947.,1947,1947,IE1846563,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1846563:FL21118890.jpg
Aberfeldie,9923084443607636,"Aberfeldie grade VA, 1954 [Aberfeldie Primary School] [picture].",1954.,1954,1954,IE1866325,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1866325:FL21118850.jpg
Acheron,9939663837107636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1026285,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1026285:FL20937239.jpg
Acheron,9939648721007636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1057193,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1057193:FL20934955.jpg
Acheron,9939667643007636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1063325,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1063325:FL20941193.jpg
Acheron,9939658827807636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1063189,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1063189:FL20939957.jpg
Acheron,9939658345207636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1067445,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1067445:FL20940453.jpg
Acheron,9939656166307636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1069277,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1069277:FL20941519.jpg
Acheron,9939654941307636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1056774,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1056774:FL20937493.jpg
Acheron,9939654455507636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1055634,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1055634:FL20934467.jpg
Acheron,9939651550807636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1042501,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1042501:FL20937129.jpg
Acheron,9939650252307636,"Acheron Way, Warburton.",[ca. 1945-ca. 1954],1945,1954,IE1024721,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1024721:FL20934799.jpg
Agnes,9922861593607636,"Mrs Ellis taken at Sunny Glen, Agnes, 1944 [picture].",1944.,1944,1944,IE1859733,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1859733:FL21118920.jpg
Aireys Inlet,9916417853607636,"EAGLE ROCK, AIREYS INLET, VIC. [picture]",[c1920-1954],1954,1954,IE894642,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE894642:FL21244479.jpg
Aireys Inlet,9917331983607636,"View At Airey's Inlet, Vic. / Rose Stereograph Company.",[between 1920 and 1954?],1920,1954,IE892512,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE892512:FL21251711.jpg
Aireys Inlet,9917331953607636,"Looking From The Big Hill To Airey's Inlet, Vic. / Rose Stereograph Company.",[between 1920 and 1954?],1920,1954,IE881063,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE881063:FL21241645.jpg
Aireys Inlet,9917331933607636,"The Big Hill, Near Airey's Inlet, Victoria / Rose Stereograph Company.",[between 1920 and 1954?],1920,1954,IE889755,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE889755:FL21241575.jpg
Aireys Inlet,9917331923607636,"At The Big Hill, Near Airey's Inlet, Victoria / Rose Stereograph Company.",[between 1920 and 1954?],1920,1954,IE889915,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE889915:FL21256345.jpg
Aireys Inlet,9917331873607636,"Road To The Fern Gully, Airey's Inlet, Vic. / Rose Stereograph Company.",[between 1920 and 1954?],1920,1954,IE891931,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE891931:FL21256276.jpg
Aireys Inlet,9917318403607636,"Panorama Of Aireys Inlet, Vic.",[between 1920 and 1954?],1920,1954,IE889160,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE889160:FL21242433.jpg
Aireys Inlet,9917317733607636,"Selby Guest House & Cafe, Looking To Beach & River, Airey's Inlet, Vic.",[between 1920 and 1954?],1920,1954,IE890047,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE890047:FL21253469.jpg
Aireys Inlet,9917331843607636,"Panorama From The Lighthouse, Airey's Inlet, Vic.",[between 1920 and 1954?],1920,1954,IE889043,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE889043:FL21256237.jpg
Aireys Inlet,9917331813607636,"The Beach, Airey's Inlet, Victoria",[between 1920 and 1954?],1920,1954,IE881833,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE881833:FL21254735.jpg
Aireys Inlet,9917331803607636,"The Beach, Airey's Inlet, Victoria",[between 1920 and 1954?],1920,1954,IE898927,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE898927:FL21242489.jpg
Aireys Inlet,9917331793607636,"Split Point, Airey's Inlet, Victoria",[between 1920 and 1954?],1920,1954,IE892136,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE892136:FL21254691.jpg
Aireys Inlet,9917331943607636,"Looking To The Big Hill, Near Airey's Inlet, Vic. / Rose Stereograph Company.",[between 1920 and 1954?],1920,1954,IE882135,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE882135:FL21241609.jpg
Aireys Inlet,9917331913607636,"Looking To Airey's Inlet, From ""Eastern View,"" Vic. / Rose Stereograph Company.",[between 1920 and 1954?],1920,1954,IE892604,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE892604:FL21256307.jpg
